"Domain","Punycode","Type","Status","Has Website","MX Records","A Records","Name Servers","Risk Score","Risk Level","Registrar","Created Date","Expiration Date","Error"
"rheinmêtall.com","xn--rheinmtall-r7a.com","homograph","available","No","","","","12","low","","","",""
"rheinmëtall.com","xn--rheinmtall-27a.com","homograph","available","No","","","","12","low","","","",""
"rheinmεtall.com","xn--rheinmtall-hnh.com","homograph","available","No","","","","12","low","","","",""
"rheinmеtall.com","xn--rheinmtall-psi.com","homograph","available","No","","","","12","low","","","",""
"rheinmeţall.com","xn--rheinmeall-tbc.com","homograph","available","No","","","","12","low","","","",""
"rheinmeťall.com","xn--rheinmeall-gcc.com","homograph","available","No","","","","12","low","","","",""
"rheinmeтall.com","xn--rheinmeall-twi.com","homograph","available","No","","","","12","low","","","",""
"rheinmetàll.com","xn--rheinmetll-o4a.com","homograph","available","No","","","","12","low","","","",""
"rheinmetáll.com","xn--rheinmetll-z4a.com","homograph","available","No","","","","12","low","","","",""
"rheinmetâll.com","xn--rheinmetll-b5a.com","homograph","available","No","","","","12","low","","","",""
"rheinmetãll.com","xn--rheinmetll-m5a.com","homograph","available","No","","","","12","low","","","",""
"rheinmetäll.com","xn--rheinmetll-x5a.com","homograph","available","No","","","","12","low","","","",""
"rheinmetåll.com","xn--rheinmetll-85a.com","homograph","available","No","","","","12","low","","","",""
"rheinmetαll.com","xn--rheinmetll-9lh.com","homograph","available","No","","","","12","low","","","",""
"rheinmetаll.com","xn--rheinmetll-6qi.com","homograph","available","No","","","","12","low","","","",""
"rheinmetaļl.com","xn--rheinmetal-myb.com","homograph","available","No","","","","12","low","","","",""
"rheinmetałl.com","xn--rheinmetal-i0b.com","homograph","available","No","","","","12","low","","","",""
"rheinmetaľl.com","xn--rheinmetal-8yb.com","homograph","available","No","","","","12","low","","","",""
"rheinmetalļ.com","xn--rheinmetal-nyb.com","homograph","available","No","","","","12","low","","","",""
"rheinmetalł.com","xn--rheinmetal-j0b.com","homograph","available","No","","","","12","low","","","",""
"rheinmetalľ.com","xn--rheinmetal-9yb.com","homograph","available","No","","","","12","low","","","",""
"ｒheinmetall.com","xn--heinmetall-e199c.com","homoglyph","available","No","","","","12","low","","","",""
"rｈeinmetall.com","xn--reinmetall-9x99c.com","homoglyph","available","No","","","","12","low","","","",""
"rhｅinmetall.com","xn--rhinmetall-dx99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheｉnmetall.com","xn--rhenmetall-ny99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheiηmetall.com","xn--rheimetall-1nh.com","homoglyph","available","No","","","","12","low","","","",""
"rheiｎmetall.com","xn--rheimetall-8z99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheinмetall.com","xn--rheinetall-vui.com","homoglyph","available","No","","","","12","low","","","",""
"rheinｍetall.com","xn--rheinetall-yz99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmｅtall.com","xn--rheinmtall-hx99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmeτall.com","xn--rheinmeall-7rh.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmeｔall.com","xn--rheinmeall-7199c.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmetɑll.com","xn--rheinmetll-nge.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmetａll.com","xn--rheinmetll-9v99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmetaӏl.com","xn--rheinmetal-65j.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmetaｌl.com","xn--rheinmetal-rz99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmetalӏ.com","xn--rheinmetal-75j.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmetalｌ.com","xn--rheinmetal-sz99c.com","homoglyph","available","No","","","","12","low","","","",""
"rheinmetall.net","rheinmetall.net","tld","active","Yes","","193.35.218.2","ns5.xc-ns.de.;ns2.xc-ns.de.","72","high","1API GmbH","2006-06-22T07:33:26Z","2026-06-22T07:33:26Z",""
"rheinmetall.org","rheinmetall.org","tld","available","Yes","merlin.adon.net.;mailbackup.gatworks.de.","193.35.218.2","ns5.xc-ns.de.;ns2.xc-ns.de.","77","high","","","",""
"rheinmetall.info","rheinmetall.info","tld","available","No","alt1.aspmx.l.google.com.;alt4.aspmx.l.google.com.;aspmx.l.google.com.;alt3.aspmx.l.google.com.;alt2.aspmx.l.google.com.","","ns-cloud-d1.googledomains.com.;ns-cloud-d4.googledomains.com.;ns-cloud-d2.googledomains.com.;ns-cloud-d3.googledomains.com.","27","low","","","",""
"rheinmetall.biz","rheinmetall.biz","tld","active","Yes","mx.colt.net.;imsblzsi02.dmz.blz.ims.ihost.com.;imsblzsi01.dmz.blz.ims.ihost.com.","193.35.218.2","ns2.xc-ns.de.;ns5.xc-ns.de.","90","high","","","",""
"rheinmetall.us","rheinmetall.us","tld","active","Yes","mx1.emailsrvr.com.;mx2.emailsrvr.com.","193.35.218.2","ns2.xc-ns.de.;ns5.xc-ns.de.","90","high","1API GmbH","2010-03-22T15:34:24Z","2026-03-21T23:59:59Z",""
"rheinmetall.co","rheinmetall.co","tld","available","No","","","","9","low","","","",""
"rheinmetall.io","rheinmetall.io","tld","active","Yes","","76.223.67.189;13.248.213.45","ns39.domaincontrol.com.;ns40.domaincontrol.com.","72","high","","","",""
"rheinmetall.ai","rheinmetall.ai","tld","active","Yes","localhost.","64.190.63.222","ns2.sedoparking.com.;ns1.sedoparking.com.","90","high","","","",""
"rheinmetall.me","rheinmetall.me","tld","active","Yes",".","76.223.54.146;13.248.169.48","ns1.afternic.com.;ns2.afternic.com.","90","high","","","",""
"rheinmetall.tv","rheinmetall.tv","tld","available","No","","","","9","low","","","",""
"rheinmetall.cc","rheinmetall.cc","tld","parked","No","","44.227.65.245;44.227.76.166","curitiba.ns.porkbun.com.;fortaleza.ns.porkbun.com.;maceio.ns.porkbun.com.;salvador.ns.porkbun.com.","43","medium","","","",""
"wrheinmetall.com","wrheinmetall.com","insertion","available","No","","","","10","low","","","",""
"rheinmetallw.com","rheinmetallw.com","insertion","available","No","","","","10","low","","","",""
"rheinwmetall.com","rheinwmetall.com","insertion","available","No","","","","10","low","","","",""
"wwrheinmetall.com","wwrheinmetall.com","insertion","available","No","","","","10","low","","","",""
"rheinmetallww.com","rheinmetallww.com","insertion","available","No","","","","10","low","","","",""
"rheinwwmetall.com","rheinwwmetall.com","insertion","available","No","","","","10","low","","","",""
"wwwrheinmetall.com","wwwrheinmetall.com","insertion","available","No","","","","10","low","","","",""
"rheinmetallwww.com","rheinmetallwww.com","insertion","available","No","","","","10","low","","","",""
"rheinwwwmetall.com","rheinwwwmetall.com","insertion","available","No","","","","10","low","","","",""
"rhein-metall.com","rhein-metall.com","insertion","available","No","","","","10","low","","","",""
"0rheinmetall.com","0rheinmetall.com","insertion","available","No","","","","10","low","","","",""
"rheinmetall0.com","rheinmetall0.com","insertion","available","No","","","","10","low","","","",""
"rhein0metall.com","rhein0metall.com","insertion","available","No","","","","10","low","","","",""
"1rheinmetall.com","1rheinmetall.com","insertion","available","No","","","","10","low","","","",""
"rheinmetall1.com","rheinmetall1.com","insertion","available","No","","","","10","low","","","",""
"rhein1metall.com","rhein1metall.com","insertion","available","No","","","","10","low","","","",""
"irheinmetall.com","irheinmetall.com","insertion","available","No","","","","10","low","","","",""
"rheinmetalli.com","rheinmetalli.com","insertion","available","No","","","","10","low","","","",""
"rheinimetall.com","rheinimetall.com","insertion","available","No","","","","10","low","","","",""
"orheinmetall.com","orheinmetall.com","insertion","available","No","","","","10","low","","","",""
"rheinmetallo.com","rheinmetallo.com","insertion","available","No","","","","10","low","","","",""
"rheinometall.com","rheinometall.com","insertion","available","No","","","","10","low","","","",""
"heinmetall.com","heinmetall.com","deletion","active","Yes","","193.35.218.2","ns5.xc-ns.de.;ns2.xc-ns.de.","80","high","1API GmbH","2018-03-13T08:20:52Z","2027-03-13T08:20:52Z",""
"reinmetall.com","reinmetall.com","deletion","active","Yes","mail.stackit.domains.","193.35.218.2","ns5.xc-ns.de.;ns2.xc-ns.de.","100","high","1API GmbH","2017-02-22T10:31:16Z","2027-02-22T10:31:16Z",""
"rhinmetall.com","rhinmetall.com","deletion","available","No","mail1.namebrightmail.com.;mail2.namebrightmail.com.","","ns2.namebrightdns.com.;ns1.namebrightdns.com.","30","low","TurnCommerce, Inc. DBA NameBright.com","2021-06-15T18:39:16Z","2027-06-15T18:39:16Z",""
"rhenmetall.com","rhenmetall.com","deletion","parked","No","","213.111.156.15","","48","medium","Sollutium EU sp. z o.o.","2026-03-23T12:08:38Z","2027-03-23T12:08:38Z",""
"rheimetall.com","rheimetall.com","deletion","available","No","","","","10","low","","","",""
"rheinetall.com","rheinetall.com","deletion","available","No","","","","10","low","","","",""
"rheinmtall.com","rheinmtall.com","deletion","available","No","","","","10","low","","","",""
"rheinmeall.com","rheinmeall.com","deletion","available","No","","","","10","low","","","",""
"rheinmetll.com","rheinmetll.com","deletion","available","No","","","","10","low","","","",""
"rheinmetal.com","rheinmetal.com","deletion","active","Yes","","13.248.169.48;76.223.54.146","ns1.namefind.com.;ns2.namefind.com.","80","high","GoDaddy.com, LLC","2005-06-15T23:59:06Z","2026-06-15T23:59:06Z",""
"rh3inmetall.com","rh3inmetall.com","substitution","available","No","","","","11","low","","","",""
"rhe1nmetall.com","rhe1nmetall.com","substitution","available","No","","","","11","low","","","",""
"rhelnmetall.com","rhelnmetall.com","substitution","available","No","","","","11","low","","","",""
"rheinm3tall.com","rheinm3tall.com","substitution","available","No","","","","11","low","","","",""
"rheinme7all.com","rheinme7all.com","substitution","available","No","","","","11","low","","","",""
"rheinmeta1l.com","rheinmeta1l.com","substitution","available","No","","","","11","low","","","",""
"rheinmetail.com","rheinmetail.com","substitution","available","No","","","","11","low","","","",""
"rheinmetal1.com","rheinmetal1.com","substitution","active","Yes","eforward1.registrar-servers.com.;eforward2.registrar-servers.com.;eforward3.registrar-servers.com.;eforward4.registrar-servers.com.;eforward5.registrar-servers.com.","188.114.96.5;188.114.97.5","clarissa.ns.cloudflare.com.;sam.ns.cloudflare.com.","100","high","NameCheap, Inc.","2024-11-04T13:48:06Z","2026-11-04T13:48:06Z",""
"rheinmetali.com","rheinmetali.com","substitution","parked","No","mx03.secure-mailgate.com.;mx04.secure-mailgate.com.","5.44.111.165","ns2.checkdomain.de.;ns.checkdomain.de.","71","high","Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA","2025-09-23T16:34:17Z","2026-09-23T16:34:17Z",""
